facility,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank,hub_score,authority_score,community_id,community_size
IND110093AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.12084565690397504,0.0005104724106318206,0.0007350185195316686,0.0003928167944205718,1,122
IND121001AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.12108080330949599,0.0004163858958722512,0.0007892440548509873,0.000583539922236565,1,122
IND121002AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.12108080330949599,0.0004163858958722512,0.0007892440548509873,0.000583539922236565,1,122
IND121004AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.12108080330949599,0.0004163858958722512,0.0007892440548509873,0.000583539922236565,1,122
IND121004AAC,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.12108080330949599,0.0004163858958722512,0.0007892440548509873,0.000583539922236565,1,122
IND121102AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.12108080330949599,0.0004163858958722512,0.0007892440548509873,0.000583539922236565,1,122
IND122001AAD,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.11913503950365953,0.00020346891110212934,6.0625648227676e-05,0.0005699653246063555,1,122
IND122050AAA,0.0012077294685990338,0.0012077294685990338,0.0,0.0,0.11933021016031262,0.00037643803483734133,-0.0,0.0005764795567225859,1,122
IND122101AAC,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.11913503950365953,0.00020346891110212934,-0.0,0.0005699653246063555,1,122
IND122001AAJ,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0012128376899163712,0.0960269179539174,0.0004958945793644189,1.142809131832409e-20,2.9750765947122105e-20,53,98
IND507123AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0012106484522089408,0.08405057564269043,0.000539444542765402,-1.4713703375482536e-21,1.0866788578707867e-19,53,98
IND122002AAD,0.0006038647342995169,0.0,0.0006038647342995169,0.0,0.0,0.00011808275676922355,1.418935855965269e-20,-0.0,1,122
IND122503AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0004039143570208854,0.0006038647342995169,0.0002184672085625545,0.0005133127686174046,1.3492433271686233e-19,1,122
IND122004AAA,0.0012077294685990338,0.0,0.0012077294685990338,0.0,0.0,0.00011808275676922355,0.003655806604915143,-0.0,1,122
IND122413AAE,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.0006038647342995169,0.00016827498266588903,-0.0,0.0003928167944205716,1,122
IND123001AAA,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.0016156574280835414,0.1190348021695619,0.00047998634555130335,-2.8907661736763404e-21,5.643830691132569e-05,1,122
IND123401AAB,0.0018115942028985505,0.0006038647342995169,0.0012077294685990338,0.0016134681903761114,0.10115216933211349,0.0005260965953445792,0.003655806604915143,-2.748783148893127e-20,1,122
IND123106AAB,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.08805755303631291,0.0003418186696231935,-0.0,0.00039281679442057174,1,122
IND124001AAB,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0012150269276238015,0.12668905904473393,0.0003637172675725176,-9.774379424837125e-22,0.0009248029627855241,15,71
